OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,1213.24,1213.35,1212.31,1213.35,5545.013
2023-01-03 05:31:00,5,31,3,1,2023,1213.35,1213.52,1212.07,1212.87,4029.176
2023-01-03 05:32:00,5,32,3,1,2023,1212.88,1213.0,1212.8,1213.0,1313.698
2023-01-03 05:33:00,5,33,3,1,2023,1212.99,1213.59,1212.81,1213.06,2992.901
2023-01-03 05:34:00,5,34,3,1,2023,1213.07,1213.63,1212.84,1213.18,3389.504
2023-01-03 05:35:00,5,35,3,1,2023,1213.17,1213.84,1213.17,1213.39,2681.04
2023-01-03 05:36:00,5,36,3,1,2023,1213.39,1214.02,1213.38,1213.85,2698.098
2023-01-03 05:37:00,5,37,3,1,2023,1213.85,1214.13,1213.83,1214.13,1513.375
2023-01-03 05:38:00,5,38,3,1,2023,1214.13,1214.5,1213.89,1214.39,2014.196
2023-01-03 05:39:00,5,39,3,1,2023,1214.4,1214.86,1214.39,1214.78,1423.643
2023-01-03 05:40:00,5,40,3,1,2023,1214.78,1214.79,1214.32,1214.76,1974.692
2023-01-03 05:41:00,5,41,3,1,2023,1214.75,1214.75,1214.43,1214.59,1005.148
2023-01-03 05:42:00,5,42,3,1,2023,1214.58,1215.31,1214.58,1214.69,3040.626
2023-01-03 05:43:00,5,43,3,1,2023,1214.68,1214.88,1214.41,1214.56,979.818
2023-01-03 05:44:00,5,44,3,1,2023,1214.56,1215.06,1214.56,1214.99,1385.625
2023-01-03 05:45:00,5,45,3,1,2023,1215.0,1215.0,1214.74,1214.9,798.29
2023-01-03 05:46:00,5,46,3,1,2023,1214.89,1214.9,1214.77,1214.78,450.444
2023-01-03 05:47:00,5,47,3,1,2023,1214.78,1215.34,1214.77,1215.29,1521.423
2023-01-03 05:48:00,5,48,3,1,2023,1215.29,1215.4,1215.18,1215.31,1375.352
2023-01-03 05:49:00,5,49,3,1,2023,1215.3,1215.3,1214.9,1214.91,707.333
2023-01-03 05:50:00,5,50,3,1,2023,1214.9,1214.91,1214.73,1214.74,775.631
2023-01-03 05:51:00,5,51,3,1,2023,1214.73,1214.86,1214.69,1214.7,430.51
2023-01-03 05:52:00,5,52,3,1,2023,1214.69,1214.7,1214.25,1214.26,963.748
2023-01-03 05:53:00,5,53,3,1,2023,1214.26,1214.26,1213.71,1214.1,932.446
2023-01-03 05:54:00,5,54,3,1,2023,1214.1,1214.52,1214.05,1214.42,1063.828
2023-01-03 05:55:00,5,55,3,1,2023,1214.42,1214.47,1213.85,1213.85,2837.823
