OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,1.1667,1.1672,1.1655,1.1668,58165.8
2023-01-03 05:31:00,5,31,3,1,2023,1.167,1.1693,1.166,1.166,68765.5
2023-01-03 05:32:00,5,32,3,1,2023,1.1659,1.1663,1.1646,1.1653,65100.4
2023-01-03 05:33:00,5,33,3,1,2023,1.1654,1.1659,1.1644,1.1651,42847.1
2023-01-03 05:34:00,5,34,3,1,2023,1.1652,1.1658,1.1643,1.1648,18531.3
2023-01-03 05:35:00,5,35,3,1,2023,1.1649,1.1653,1.1641,1.1643,27400.9
2023-01-03 05:36:00,5,36,3,1,2023,1.1643,1.1657,1.1643,1.1657,19697.5
2023-01-03 05:37:00,5,37,3,1,2023,1.1659,1.1675,1.1659,1.1673,29193.2
2023-01-03 05:38:00,5,38,3,1,2023,1.1672,1.1688,1.1668,1.1682,58534.6
2023-01-03 05:39:00,5,39,3,1,2023,1.1684,1.1693,1.1684,1.1693,3906.5
2023-01-03 05:40:00,5,40,3,1,2023,1.1693,1.1702,1.1693,1.1701,28444.2
2023-01-03 05:41:00,5,41,3,1,2023,1.1702,1.1707,1.1697,1.1701,31773.1
2023-01-03 05:42:00,5,42,3,1,2023,1.1703,1.1723,1.1702,1.1719,54406.7
2023-01-03 05:43:00,5,43,3,1,2023,1.1718,1.173,1.1713,1.173,34061.1
2023-01-03 05:44:00,5,44,3,1,2023,1.173,1.1734,1.1703,1.1708,118439.0
2023-01-03 05:45:00,5,45,3,1,2023,1.171,1.1718,1.1709,1.1717,23494.0
2023-01-03 05:46:00,5,46,3,1,2023,1.1716,1.1722,1.1716,1.1721,9534.8
2023-01-03 05:47:00,5,47,3,1,2023,1.1722,1.174,1.1722,1.1739,39238.5
2023-01-03 05:48:00,5,48,3,1,2023,1.1737,1.1757,1.1722,1.1757,99111.1
2023-01-03 05:49:00,5,49,3,1,2023,1.1757,1.1762,1.1726,1.1735,52505.7
2023-01-03 05:50:00,5,50,3,1,2023,1.1735,1.1739,1.1717,1.1719,28310.7
2023-01-03 05:51:00,5,51,3,1,2023,1.1719,1.1725,1.1719,1.1725,4314.5
2023-01-03 05:52:00,5,52,3,1,2023,1.1725,1.1725,1.1711,1.1719,7338.3
2023-01-03 05:53:00,5,53,3,1,2023,1.1719,1.1719,1.1687,1.1696,63051.6
2023-01-03 05:54:00,5,54,3,1,2023,1.1699,1.1714,1.169,1.1694,23031.8
2023-01-03 05:55:00,5,55,3,1,2023,1.1696,1.1703,1.1689,1.1698,31605.1
2023-01-03 05:56:00,5,56,3,1,2023,1.1698,1.1707,1.1695,1.17,21557.0
2023-01-03 05:57:00,5,57,3,1,2023,1.17,1.1707,1.1698,1.1698,6043.7
2023-01-03 05:58:00,5,58,3,1,2023,1.17,1.1718,1.17,1.1718,15427.3
2023-01-03 05:59:00,5,59,3,1,2023,1.1718,1.1718,1.1701,1.1703,11726.7
2023-01-03 06:00:00,6,0,3,1,2023,1.1704,1.1741,1.1704,1.1741,53737.1
2023-01-03 06:01:00,6,1,3,1,2023,1.1743,1.175,1.1739,1.1749,35645.5
2023-01-03 06:02:00,6,2,3,1,2023,1.175,1.1752,1.1735,1.1749,29461.8
2023-01-03 06:03:00,6,3,3,1,2023,1.1748,1.178,1.1734,1.1778,113294.4
2023-01-03 06:04:00,6,4,3,1,2023,1.1778,1.1796,1.1773,1.1777,90278.7
2023-01-03 06:05:00,6,5,3,1,2023,1.1777,1.1777,1.1754,1.1763,55354.2
2023-01-03 06:06:00,6,6,3,1,2023,1.1762,1.1769,1.1757,1.1769,26979.2
2023-01-03 06:07:00,6,7,3,1,2023,1.177,1.1839,1.177,1.1827,313438.7
2023-01-03 06:08:00,6,8,3,1,2023,1.1827,1.1828,1.1787,1.1791,165087.1
2023-01-03 06:09:00,6,9,3,1,2023,1.1789,1.1804,1.1778,1.1796,79498.6
2023-01-03 06:10:00,6,10,3,1,2023,1.1795,1.1808,1.1776,1.1801,57013.5
2023-01-03 06:11:00,6,11,3,1,2023,1.18,1.1821,1.1794,1.1811,53955.8
2023-01-03 06:12:00,6,12,3,1,2023,1.1811,1.1824,1.1793,1.1808,54282.7
2023-01-03 06:13:00,6,13,3,1,2023,1.1807,1.1828,1.1807,1.1817,72370.5
2023-01-03 06:14:00,6,14,3,1,2023,1.1816,1.1822,1.181,1.1822,18048.0
2023-01-03 06:15:00,6,15,3,1,2023,1.1822,1.1824,1.1797,1.1807,45698.9
2023-01-03 06:16:00,6,16,3,1,2023,1.1807,1.1841,1.1807,1.1836,82945.6
2023-01-03 06:17:00,6,17,3,1,2023,1.1835,1.1835,1.1811,1.182,68372.9
2023-01-03 06:18:00,6,18,3,1,2023,1.1818,1.1829,1.1809,1.1824,38623.3
2023-01-03 06:19:00,6,19,3,1,2023,1.1824,1.1855,1.1824,1.1835,113372.1
2023-01-03 06:20:00,6,20,3,1,2023,1.1834,1.1837,1.1811,1.1816,66518.4
2023-01-03 06:21:00,6,21,3,1,2023,1.1816,1.1825,1.1807,1.1814,29876.9
2023-01-03 06:22:00,6,22,3,1,2023,1.1813,1.1822,1.1794,1.1795,52684.1
2023-01-03 06:23:00,6,23,3,1,2023,1.1798,1.18,1.178,1.1792,84554.8
2023-01-03 06:24:00,6,24,3,1,2023,1.1791,1.1804,1.178,1.1802,37655.9
2023-01-03 06:25:00,6,25,3,1,2023,1.1801,1.1841,1.1797,1.1837,77024.7
2023-01-03 06:26:00,6,26,3,1,2023,1.1837,1.1837,1.1816,1.1835,29833.5
2023-01-03 06:27:00,6,27,3,1,2023,1.1835,1.1838,1.1819,1.1835,22790.3
2023-01-03 06:28:00,6,28,3,1,2023,1.1837,1.1837,1.1823,1.1828,26413.3
2023-01-03 06:29:00,6,29,3,1,2023,1.1828,1.183,1.1811,1.1814,21264.8
2023-01-03 06:30:00,6,30,3,1,2023,1.1816,1.1824,1.18,1.1815,77782.1
2023-01-03 06:31:00,6,31,3,1,2023,1.1818,1.1831,1.179,1.1817,135918.5
2023-01-03 06:32:00,6,32,3,1,2023,1.1817,1.1824,1.1812,1.182,15417.3
2023-01-03 06:33:00,6,33,3,1,2023,1.182,1.1827,1.1819,1.1825,14432.1
2023-01-03 06:34:00,6,34,3,1,2023,1.1827,1.1852,1.1826,1.1851,42595.2
2023-01-03 06:35:00,6,35,3,1,2023,1.1849,1.1849,1.1836,1.1848,30426.2
2023-01-03 06:36:00,6,36,3,1,2023,1.1848,1.1859,1.1843,1.1857,60238.1
2023-01-03 06:37:00,6,37,3,1,2023,1.1857,1.1859,1.1827,1.1829,97793.8
2023-01-03 06:38:00,6,38,3,1,2023,1.1827,1.1843,1.1825,1.1841,24612.7
2023-01-03 06:39:00,6,39,3,1,2023,1.1843,1.1848,1.1833,1.1834,15335.6
2023-01-03 06:40:00,6,40,3,1,2023,1.1834,1.1841,1.1829,1.1836,26502.7
2023-01-03 06:41:00,6,41,3,1,2023,1.1838,1.1842,1.1822,1.1825,46302.0
2023-01-03 06:42:00,6,42,3,1,2023,1.1825,1.1838,1.1825,1.1838,6506.4
2023-01-03 06:43:00,6,43,3,1,2023,1.1837,1.1849,1.1837,1.1845,22339.8
2023-01-03 06:44:00,6,44,3,1,2023,1.1846,1.1851,1.1845,1.1849,10932.8
2023-01-03 06:45:00,6,45,3,1,2023,1.185,1.1855,1.1843,1.1847,14122.4
2023-01-03 06:46:00,6,46,3,1,2023,1.1848,1.1852,1.184,1.1847,26548.0
2023-01-03 06:47:00,6,47,3,1,2023,1.1851,1.1853,1.1846,1.1853,11338.3
2023-01-03 06:48:00,6,48,3,1,2023,1.1853,1.1871,1.1853,1.1859,70893.9
2023-01-03 06:49:00,6,49,3,1,2023,1.1859,1.1862,1.1825,1.1832,68955.0
2023-01-03 06:50:00,6,50,3,1,2023,1.1832,1.1838,1.1815,1.1815,63267.3
2023-01-03 06:51:00,6,51,3,1,2023,1.1815,1.1825,1.1785,1.179,66217.0
2023-01-03 06:52:00,6,52,3,1,2023,1.1793,1.1815,1.1793,1.18,48919.8
2023-01-03 06:53:00,6,53,3,1,2023,1.1804,1.1811,1.1794,1.1794,13908.4
2023-01-03 06:54:00,6,54,3,1,2023,1.1793,1.1804,1.1786,1.1799,69765.3
2023-01-03 06:55:00,6,55,3,1,2023,1.1799,1.1846,1.1799,1.1846,60455.0
2023-01-03 06:56:00,6,56,3,1,2023,1.1845,1.1861,1.1835,1.1847,119726.9
2023-01-03 06:57:00,6,57,3,1,2023,1.1849,1.1851,1.1839,1.1851,37765.9
2023-01-03 06:58:00,6,58,3,1,2023,1.1852,1.1852,1.1824,1.1833,26401.4
2023-01-03 06:59:00,6,59,3,1,2023,1.1831,1.1855,1.1831,1.1854,36508.7
2023-01-03 07:00:00,7,0,3,1,2023,1.185,1.1854,1.1842,1.1851,35911.6
2023-01-03 07:01:00,7,1,3,1,2023,1.1852,1.1864,1.1851,1.1863,39327.6
2023-01-03 07:02:00,7,2,3,1,2023,1.1862,1.1867,1.1856,1.1859,36379.4
2023-01-03 07:03:00,7,3,3,1,2023,1.1858,1.188,1.1858,1.1879,90920.4
2023-01-03 07:04:00,7,4,3,1,2023,1.1878,1.189,1.1878,1.1879,103022.6
2023-01-03 07:05:00,7,5,3,1,2023,1.1882,1.1888,1.1868,1.1879,69414.8
2023-01-03 07:06:00,7,6,3,1,2023,1.188,1.188,1.1863,1.1876,26091.1
2023-01-03 07:07:00,7,7,3,1,2023,1.1875,1.1878,1.1869,1.1876,22470.2
2023-01-03 07:08:00,7,8,3,1,2023,1.1877,1.1885,1.1873,1.1882,16795.6
2023-01-03 07:09:00,7,9,3,1,2023,1.1881,1.1889,1.188,1.188,18223.1
2023-01-03 07:10:00,7,10,3,1,2023,1.1879,1.1879,1.1869,1.1879,23451.7
2023-01-03 07:11:00,7,11,3,1,2023,1.1878,1.1885,1.1874,1.1881,15435.5
2023-01-03 07:12:00,7,12,3,1,2023,1.1881,1.1897,1.1881,1.1891,41319.0
2023-01-03 07:13:00,7,13,3,1,2023,1.1891,1.1891,1.1877,1.1877,26589.0
2023-01-03 07:14:00,7,14,3,1,2023,1.1876,1.1879,1.1873,1.1875,14676.0
2023-01-03 07:15:00,7,15,3,1,2023,1.1874,1.1879,1.1844,1.1848,86365.7
2023-01-03 07:16:00,7,16,3,1,2023,1.1848,1.1852,1.1823,1.1829,39483.1
2023-01-03 07:17:00,7,17,3,1,2023,1.1827,1.1835,1.1822,1.1825,36417.1
2023-01-03 07:18:00,7,18,3,1,2023,1.1826,1.183,1.1815,1.1816,22090.4
2023-01-03 07:19:00,7,19,3,1,2023,1.1817,1.1822,1.1815,1.1815,20940.0
2023-01-03 07:20:00,7,20,3,1,2023,1.1814,1.1815,1.1772,1.1785,194753.2
2023-01-03 07:21:00,7,21,3,1,2023,1.1787,1.1807,1.1787,1.1798,48773.8
2023-01-03 07:22:00,7,22,3,1,2023,1.1801,1.1808,1.1791,1.1795,17832.7
2023-01-03 07:23:00,7,23,3,1,2023,1.1796,1.1811,1.1796,1.1804,19427.0
2023-01-03 07:24:00,7,24,3,1,2023,1.1805,1.181,1.1797,1.1803,17884.7
2023-01-03 07:25:00,7,25,3,1,2023,1.18,1.1801,1.1792,1.1794,12460.6
2023-01-03 07:26:00,7,26,3,1,2023,1.1794,1.1795,1.178,1.1792,22770.6
2023-01-03 07:27:00,7,27,3,1,2023,1.1792,1.1797,1.1782,1.1797,30024.3
2023-01-03 07:28:00,7,28,3,1,2023,1.1799,1.18,1.1791,1.1797,17724.1
2023-01-03 07:29:00,7,29,3,1,2023,1.1797,1.1803,1.1793,1.1794,26105.4
2023-01-03 07:30:00,7,30,3,1,2023,1.1795,1.182,1.1785,1.1798,59621.2
2023-01-03 07:31:00,7,31,3,1,2023,1.1798,1.1798,1.1788,1.1791,13134.4
2023-01-03 07:32:00,7,32,3,1,2023,1.1791,1.1792,1.1782,1.1782,18654.2
2023-01-03 07:33:00,7,33,3,1,2023,1.1782,1.1796,1.1778,1.1796,34114.0
2023-01-03 07:34:00,7,34,3,1,2023,1.1796,1.1806,1.1795,1.1803,6252.0
2023-01-03 07:35:00,7,35,3,1,2023,1.1804,1.1807,1.1801,1.1805,12219.7
2023-01-03 07:36:00,7,36,3,1,2023,1.1805,1.1806,1.1792,1.18,46201.9
